29 Oct 2:34 pm (GMT -12) (30 Oct 02:34:22 UTC),M 5.1 / 590 km - Info, (287 km), Fiji Islands RegionI FELT IT - 1 report,Map,GFZ,earthquake,5965774,-20.87 / -178.5
2020-10-29 13:01:23 (29 Oct 19:01:23 UTC),M 5.0 / 22 km - Info, (57 km)," - 55 Km SW of San Francisco Menéndez, El SalvadorI FELT IT - 10 reports",Map,INETER,earthquake,5965431,13.481 / -90.368
"Thu, 29 Oct 09:32 UTC",M 5.0 / 53 km - Info, (501 km), Afghanistan-Tajikistan Border RegionI FELT IT - 3 reports,Map,GFZ,earthquake,5964912,37.61 / 71.83
29 Oct 4:40 am (GMT -3) (29 Oct 07:40:52 UTC),M 5.0 / 10 km - Info, (49 km)," South Shetland Islands, AntarcticaI FELT IT ",Map,USGS,earthquake,5964815,-62.4843 / -58.3891
29 Oct 4:02 am (GMT -3) (29 Oct 07:02:49 UTC),M 5.1 / 10 km - Info,"Penguin Island (25 km) - West Antarctica, South Shetland Islands"," South Shetland Islands, AntarcticaI FELT IT - 1 report",Map,GFZ,earthquake,5964779,-62.29 / -58.25
28 Oct 3:08 pm (GMT -7) (28 Oct 22:08:08 UTC),M 5.0 / 10 km - Info, (1255 km)," Easter Island Region, ChileI FELT IT ",Map,GFZ,earthquake,5964435,-29.73 / -111.92
28 Oct 7:00 pm (GMT -3) (28 Oct 22:00:27 UTC),M 5.0 / 10 km - Info,"Penguin Island (17 km) - West Antarctica, South Shetland Islands"," South Shetland Islands, AntarcticaI FELT IT ",Map,GFZ,earthquake,5964407,-62.25 / -57.86
"Wed, 28 Oct 14:53 UTC",M 5.8 / 60 km - Info, (345 km)," 20 Km Al N De La Higuera, ChileI FELT IT - 40 reports",Map,GUG (U. Chile),earthquake,5964064,-29.334 / -71.199
29 Oct 1:12 am (GMT +11) (28 Oct 14:12:56 UTC),M 5.8 / 185 km - Info,Gaua (13 km) - Vanuatu," 81 Km NNE of Port-Olry, VanuatuI FELT IT ",Map,EMSC,earthquake,5964026,-14.4 / 167.43
28 Oct 2:25 am (GMT -10) (28 Oct 12:25:20 UTC),M 5.5 / 10 km - Info, (1608 km), Pacific Antarctic RidgeI FELT IT ,Map,GFZ,earthquake,5963924,-63.35 / -157.05
"Wed, 28 Oct 09:09 UTC",M 5.4 / 50 km - Info, (114 km)," Southern Molucca Sea, IndonesiaI FELT IT - 3 reports",Map,BMKG,earthquake,5963748,-0.26 / 124.52
28/10/2020 04:02:34 (28 Oct 09:02:34 UTC),M 5.5 / 48 km - Info, (219 km)," 87 Km Al Oeste-SO De Palpa, Palpa - Ica, PeruI FELT IT - 1 report",Map,IGP,earthquake,5963743,-14.9603 / -75.8598
